Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,310954982685.648,414951956289.644,853053309256.497,1054557743957.03,926563834486.821,1142250506474.06,1389919156068.22,1537477830480.51,1563950959269.52,1454675479665.84,1339539063150.01,..
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,166062376739.683,196421706283.398,386458951546.674,427611527757.434,397594276187.83,390235099337.748,429010675562.969,407373026611.605,428698577647.394,436887543466.95,374055872241.322,..
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,8858006035.91566,5272617196.04517,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,68730906313.6456,73560484384.9586,75198010965.1919,53047140347.4527,..
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,6327552000,8318996000,8246650000,7820420000,7909580000,7889750000,8234470000,8431750000,8510500000,8884441432.05624,..
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4229787378.87456,9062906914.89362,21730000000,25710877659.5745,22938218085.1064,25713271276.5957,29044069148.9362,30756462765.9574,32897606382.9787,33851063829.7872,32221489361.7021,..
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,31598341233.5793,53369787318.6245,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078665827.565,..
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2012131370.25539,3121500000,4546000000,4595000000,4602000000,4445500000,4358000000,4313000000,4281000000,4354500000,4451000000,..
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,17369598958.1159,12736856485.1068,45275747860.6442,60752177438.8895,49208656976.039,55220932613.958,59734593904.6402,63615445566.8483,73097619636.8209,76103961203.4406,54608962634.9908,..
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,206431036697.248,237904919845.218,471821790309.335,518626043650.212,484552653514.865,483577483443.709,526975257158.743,497815990388.023,521370527591.376,531234803749.453,454039037373.849,..
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,413050000,832072450,1290542550,1368625150,1336957250,1397113450,1486712300,1573618750,1625828100,1717861750,1763000000,..
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,1959965330.47596,2569186642.86999,5969535131.58016,7132787396.66547,7097198711.61023,6970240895.49888,7814081155.64988,8117100933.52537,9110800744.87896,9575356734.7269,8476125180.59445,..
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,1592400000,3480219000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,299787275.842376,439158233.199822,1196091805.02316,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.83954,1958819914.95916,1962221695.69413,..
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,4867582620.20708,8397912509.09679,13120183156.7149,16674324634.2373,17339992165.2422,19649631308.1648,23963033443.8518,27084497539.7974,30659338929.0883,32996187988.4226,33196819571.6353,..
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,..,5505984455.95855,15776422673.198,19101454463.7507,17600630726.6141,17163117551.4626,18628022743.4257,17207367625.8048,18154290272.2151,18521476054.8094,15995392117.9473,..
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,3790636664.02546,5788329609.15755,10939053365.4786,10945070441.9283,10267128733.351,12786662034.8563,15682931970.4016,14686249032.0379,14814801573.1141,15880195735.2892,14390863395.3171,..
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,461951782000,655421153320.579,1397084381901.29,1695824517395.57,1667020106031.81,2208872214643.02,2614573170731.71,2460658440428.04,2465773850934.56,2417046323841.9,1774724818900.48,..
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,3520551724.13793,6001153306.2645,12247694247.2298,14393099068.5859,10732366286.2643,12370616061.6062,16691533190.2377,16953505121.6389,16110693734.0153,17104656669.2976,15492035784.4207,..
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,20726301369.863,13148099185.2305,44765733379.986,54666642734.2757,51783454183.5501,49939168133.207,56949835051.5464,53576670827.8581,55626359256.2432,56717054673.7214,48952959079.5738,..
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,3101300779.08364,2632700362.73684,6771277870.96412,8369637065.40255,8369175126.25316,8979966766.07232,10724061338.5874,11166061507.8024,12114166020.7244,12549126616.147,11099473096.8345,..
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,1132101252.51817,870486065.883137,1356078278.18821,1611634331.64869,1739781488.7457,2026864469.36388,2355652125.85184,2472384906.99794,2714505634.52629,3093647226.8107,3085184836.89126,..
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,306891107.262039,539227277.626411,1513933983.22398,1789333748.6799,1711817181.52969,1664310769.55229,1864824080.69256,1751888561.72747,1837908563.30275,1871187070.99534,1629759975.07703,..
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,..,3654031716.26881,8639235842.18075,10351914093.1723,10401851850.6108,11242275198.9783,12829541141.0127,14038383450.186,15449630418.5486,16777820332.7059,18049954289.4301,..
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,11151578702.7205,9287367235.25769,20431780377.8605,23322254113.5623,23381142146.6485,23622483983.7101,26587311527.5711,26472056037.7696,29567504655.4935,32050817632.9602,29198372811.2037,..
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,593929550908.468,742293448252.643,1464977190205.75,1549131208997.19,1371153004986.44,1613406134731.12,1788703385548.26,1824288757447.57,1837443486716.34,1783775590895.93,1550536520141.93,..
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1440711459.411,914500299.097034,1698125617.92304,1985370057.92473,1981728140.77833,1986014845.63184,2212699746.81377,2184183758.31567,1494073354.38426,1691091491.96525,1503299943.61311,..
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1738605558.05436,1385058161.76746,8638711756.62818,10351933631.7188,9253484289.67434,10657705072.2884,12156380062.0471,12368070168.9723,12949854262.8127,13922223233.5184,10888798113.7866,..
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,..,6439703434.71024,11514605842.3369,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,31558927517.2188,79328640263.7676,173081277147.793,179626674542.474,171956955710.4,217538271334.738,250832362674.085,265231582123.496,277078709134.861,258733363811.898,240215707927.037,..
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,358973230048.399,1205260678391.96,3523094314820.9,4558431073438.2,5059419738267.41,6039658508485.59,7492432097810.11,8461623162714.07,9490602600148.49,10351111762216.4,10866443998394.2,..
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,40274204595.2296,99886577575.5444,207416494642.379,243982437870.84,233821670544.258,287018184637.529,335415156702.186,369659700375.52,380191881860.372,378416020533.715,292080155633.31,..
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,250030778.38846,203846427.782931,462453582.873627,517477678.55149,514788082.336952,516962886.786662,566024620.528183,550476566.060452,598925513.203976,623751044.541731,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",ZAR,0,19088046305.7971,16364029327.3456,19206060270.2521,18262773820.8055,20523285374.187,23849009737.6669,27463220380.0054,30014813755.772,32782281736.2834,35237742278.1367,..
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,2798746050.58236,3219910666.03357,8394688284.06224,11859014004.0772,9593536531.23778,12007880590.4575,14425607224.168,13677930123.5919,14085852120.4761,14177437627.2969,8553154505.83585,..
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,7403457319.20472,15946443103.2804,26322000105.2344,29837895769.0591,29382694860.8539,36298327620.1953,41237293551.3474,45300669857.48,49236713603.2245,49552639049.2446,51106697023.7464,..
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,10795850584.5874,10717022462.6859,20343635319.6174,24224903099.6283,24277493862.0625,24884505034.5564,25381616734.0693,27040562587.1771,31292560974.415,34253607832.4889,31752543539.2202,..
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,..,21774273832.1031,60093155532.7678,70481451814.3118,62703095750.5257,59680624422.3702,62249565358.9878,56485301967.4205,57770884728.6496,57136241867.0192,48732003674.38,..
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,28645436550.5319,30565200000,58603500000,60806300000,62078600000,64328200000,68990140000,73139050000,77149700000,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,5591130217.66965,9929632422.24317,23716042497.1344,27493064742.3573,25593262400.8645,25247424010.9811,27089174646.3239,24940600822.1062,24055947955.3903,23227106275.7065,19319729400.0222,..
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,40315847383.7197,61474265134.5364,188818155388.125,235204812643.146,205729790694.015,207015860050.371,227313162936.047,206441578342.485,208328435108.816,205269709743.466,181811026983.078,..
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,138094873105.387,164158800460.219,319500339842.387,352591553716.09,319762353336.194,319810991980.939,341498686832.939,325012162409.979,338927058604.182,346119472127.525,295164313328.842,..
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,452328104.992109,551230861.856505,847918929.107984,999105339.267729,1049110684.72493,1128611700.3618,1239144501.77525,1353632941.5207,1455416073.50848,1589025859.84573,..,..
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,166322219.284866,335845808.883564,421481481.481481,458148148.148148,489259259.259259,493703703.703704,501481481.481481,485185185.185185,506666666.666667,524605000,537777777.777778,..
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,7073674721.12418,23996100575.4896,44073886687.2325,48152993004.2868,48193458082.8389,53864484468.2287,58361928552.0266,60595109805.051,61198323068.9747,63968906782.0737,67103263863.3943,..
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,15239278100.3502,18327764882.4412,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,94776170000,100917372000,100871770000,..
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,43130416913.4141,99838543960.0763,130478960092.499,162818181818.182,188982374700.805,218888324504.753,236001858960.015,276353323880.224,286011230726.274,301498960051.639,330778550716.746,..
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,4800900000,13134100000,20104900000,21431000000,20661000000,21418300000,23139000000,23813600000,24350900000,25054200000,25850200000,..
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,112119406.548331,1045998496.43872,10776721748.0952,16021701871.7733,10219467607.3829,12709498548.489,17229758159.783,18011041667.1319,17135584684.6409,15529729676.6886,9397792253.2693,..
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,..,706370815.584416,1317974491.05691,1380188800,1856695551.21951,2117039512.19512,2607739837.39837,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,..,5685773518.84272,22237065425.6775,24194038377.0324,19652486801.8894,19494662251.6556,23168793438.9769,23135266649.1325,25246787741.9517,26485161115.9446,22691482754.7965,..
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,12175166763.285,8242392103.68061,19707616772.7996,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,61537143095.3874,..
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,..,1062339943.83343,2278229533.05096,2413237402.14803,2257097731.55019,2301178416.00619,2468748767.9772,2356505419.09755,2613458942.48139,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,1337024782.22702,1684109743.49338,3405050611.68726,3523185919.55826,2870624635.68032,3140508835.9485,3774537140.30783,3977652382.81468,4196263712.39274,4531870926.72071,4386008744.53467,..
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,141517648888.198,125539893126.958,255384615384.615,283742493042.332,251499027507.641,247814569536.424,273657214345.288,256706466091.089,269980111642.898,272335981538.937,229810358212.266,..
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,1275300566196.84,1368438363736.87,2663112510265.54,2923465651091.26,2693827452070.02,2646994701986.75,2862502085070.89,2681416108537.39,2808511203185.39,2829192039171.84,2421682377730.95,..
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,3181206304.81549,3447543137.9415,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,5952293765.84484,5067865320.7979,12438956756.4455,15508574820.3516,12065138272.7538,14358584300.3006,18186478119.9582,17171447372.3334,17590716232.4913,18179717776.1597,14339723934.6724,..
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,317083373.524559,782915402.421095,798870894.208271,965769128.170004,900639747.939529,952429030.415536,904256643.415984,912569686.7859,903779657.124328,850903179.260948,..,..
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,7753501867.76095,3057453482.55826,10172869679.7366,12795044472.7663,10766809099.0721,11638536890.5347,14434619982.2117,15846474595.773,16140047072.2616,16509305827.7171,13965385801.7891,..
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,1764967948916.6,1949953934033.54,3439953462907.2,3752365607148.09,3418005001389.27,3417298013245.03,3757464553794.83,3539615377794.51,3745317149399.13,3868291231823.77,3355772429854.72,..
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,5889174833.90034,4983024408.14828,24758819717.7074,28526891010.4925,25977847813.7422,32174772955.9748,39566292432.8615,41939728978.7281,47805069494.9082,38616536131.648,37864368219.9169,..
GDP (current US$),NY.GDP.MKTP.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,97891090928.6328,130133845771.144,318497936901.177,354460802548.704,330000252153.376,299379400264.901,287779921184.32,245670666639.047,239509850570.447,235574074998.314,195212006432.295,..
GDP (current US$),NY.GDP.MKTP.CD,Greenland,GRL,1018977225.44427,1068024993.98697,2039990870.18161,2301745558.05339,2314737666.79517,2287220565.1596,2503747856.84595,2356004770.79887,2419043094.32119,2441226080.03611,..,..
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,221070366.466127,520044370.37037,758518518.518518,825925925.925926,771278111.111111,771015888.888889,778648666.666667,799882148.148148,842571333.333333,911803777.777778,978148148.148148,..
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,7650125576.4628,19290566570.0483,34113107084.9436,39136436553.268,37733609938.8925,41338008617.1119,47654783850.6388,50388460920.182,53851143340.8007,58722323918.1604,63794348774.6251,..
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,2666616176.91609,2995360969.16199,4134173275.1244,4515824647.43939,4609923756.18485,4735956493.06479,5067360009.39196,5667229758.9878,6231725484.55943,6624068015.50039,6699203543.29047,..
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,243961995.509711,370173851.946119,695606313.874664,864107768.266587,825796952.682917,847491366.890874,1105497903.79842,995582730.590756,1026663832.88803,1109009637.65258,1056851007.567,..
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,396582263.291139,712667896.727512,1740334781.83731,1922598121.23066,2025565089.48272,2259288396.24467,2576602497.33479,2851154075.95385,2990006533.77749,3077086275.94585,3166029055.69007,..
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,..,3953846310.66081,5885325589.97642,6548530572.35291,6584649419.28348,6622541528.56888,7516834160.25277,7890216507.68913,8452718010.07761,8776370457.02069,8877465911.26736,..
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,3048896180.84277,7105542971.35243,12275501784.2971,13789715132.502,14587496229.1811,15839344591.9842,17710315005.9999,18528601901.324,18496438641.4768,19380958759.0497,20152043003.4425,..
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,76928290841.8701,171668164082.555,211597405593.868,219279678430.164,214046415026.187,228637697575.04,248513617677.287,262629441493.476,275742650850.954,291229801008.499,309928790732.475,..
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,..,47169872903.4599,139079807957.27,157094861350.053,129774040645.107,130093753005.675,139930994006.615,127176184359.093,134401774737.924,138346650088.972,120687138088.121,..
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,6521544489.20626,8924735422.81469,21293841230.1928,17530651669.9091,12855269883.7902,13236887873.0516,14665358676.7166,14194519025.2641,15376604281.4504,17036097481.8066,16598494830.9142,..
GDP (current US$),NY.GDP.MKTP.CD,India,IND,326608014285.316,476609148165.173,1238699170079.01,1224097069459.66,1365371474048.19,1708458876829.92,1815865716201.58,1824960308640.71,1863208343557.81,2042438591343.98,2073542978208.77,..
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,114426498045.009,165021012261.411,432216737774.861,510228634992.258,539580085612.401,755094157594.527,892969104529.574,917869913364.916,912524136718.019,890487074595.966,861933968740.332,..
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,124813270133.97,109591707802.216,337474485087.271,397189565318.895,398978104575.331,467790215915.476,592037800186.865,587209369682.67,511620875086.78,425326068422.881,..,..
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,179885815374.719,..,88840050497.0957,131613661510.475,111660855042.735,138516722649.573,185749664444.444,218000986222.639,232497236277.873,223508094682.676,168606686710.642,..
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,49361026051.8432,99833960199.005,269714892827.813,274713996338.069,235387174076.132,220076114437.086,241784795802.057,224652132155.012,238259956626.791,250813607686.108,238020405899.967,..
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMY,..,1563667799.61578,5686310748.57518,5827830311.16361,5047757847.85311,5420291954.71889,6066057183.24473,6432879504.49094,6754330154.76004,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,52490325640.2953,132396684080.151,179564275455.807,216760312151.616,208068814688.605,234321743781.76,261764344205.025,259613579190.332,292408330563.864,305674837195.003,296075434804.981,..
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1177326298642.53,1141760021927.4,2203053327128.39,2390729210487.77,2185160158794.11,2125184794172.19,2276150874756.74,2072823111961.1,2130330362918.37,2138540909211.12,1814762858045.91,..
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,4592208207.63945,8929375580.31569,12824094989.8639,13678551837.6303,12037473160.8091,13190512703.1357,14396816914.4981,14746420946.1737,14262303586.054,13927110141.57,14005654598.9598,..
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,3103698099973.41,4731198760271.14,4356347794333.08,4849184641953.57,5035141567658.9,5498717815809.77,5908989186412.22,5957250118648.75,4908862837290.47,4596156556721.9,4123257609614.74,..
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,4159928704.0162,8457923955.68299,17110609732.0169,21971835282.5137,23818322957.7465,26425379436.6197,28840263380.2817,30937277605.6338,33593843661.9718,35826925774.6479,37517410299.2739,..
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,26932728898.8146,18291990619.137,104849886825.584,133441612246.798,115308661142.927,148047348240.643,200379345222.506,215902443457.121,243775211464.992,227437054841.268,184360630555.504,..
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,8572359162.86876,12705357103.0056,31958195182.2406,35895153327.8497,37021512048.8158,39999659233.7555,41953433591.4101,50410164013.5527,55100780396.387,61395415492.333,63398041540.367,..
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,28413863.0864101,67512697.1243043,123002259.225169,135044455.62825,127125253.470597,150431113.557145,172253739.040743,174984468.834127,168951535.045376,166756805.48044,145237022.01187,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,284757121057.986,561633037419.537,1122679154632.41,1002219052967.54,901934953364.711,1094499338702.72,1202463682633.85,1222807195712.49,1305604981271.91,1411333926201.24,1377873107856.33,..
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,KSV,..,1849196082.05507,4833561456.33726,5687488208.58356,5653792720.20006,5829933774.83444,6692521545.73255,6500321212.89991,7073021773.76527,7384901154.30543,6385937673.2838,..
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,18427778571.0531,37711864406.7797,114641097818.438,147395833333.333,105899930507.297,115419050942.08,154027536231.884,174070025008.932,174161495063.47,163612438510.19,112811565304.088,..
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,2674000000,1369691955.02213,3802566170.81543,5139957784.91084,4690062255.12247,4794357795.07139,6197766118.59856,6605139933.41063,7335027591.91628,7468096566.71158,6571853849.00585,..
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,865559856.1639,1731198022.45494,4222962987.53859,5443915120.50795,5832915387.08908,7181441139.89806,8283218733.60768,9359185244.24597,11192471435.4424,11715619755.8584,12327488340.7341,..
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,..,7934770567.78679,30847189167.0086,35542093261.2191,26144610786.7668,23743309485.9565,28385281828.3791,28023276371.5791,30221574614.9761,31286809075.2289,27035266718.4208,..
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,2838485397.82897,17260364842.4544,24577114427.8607,28829850746.2687,35139635157.5456,38009950248.7562,40078938640.1327,43205095854.063,44352418120.4377,45730945273.6318,47102873631.8408,..
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,544583156.185985,771261707.830197,1597476793.36872,1630672202.58558,1711412960.10007,2187482926.29624,2523309140.48836,2384043848.96468,2218102350.05334,2181300505.8649,..,..
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,384400000,529064600,739027200,850040500,1155147400,1292697100,1545400000,1735500000,1946500000,2013000000,2053000000,..
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,28904898117.7385,38270206950.41,67516236337.7158,87140405361.2292,63028320702.0343,74773444900.5368,34699395523.6073,81905365776.3335,65504442871.7465,41142722414.3351,29152707344.7142,..
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,1421508875.2782,2483890593.70545,4601430548.88525,5081479840.08716,4504376589.9239,5082338964.87305,5739705822.48169,5487773452.44017,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,..,11539211480.3625,39738180076.6283,47850551148.8365,37440673477.8983,37132564255.4319,43505562065.1266,42852204396.452,46418255974.5088,48353937110.2561,41243983586.5587,..
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,13361108522.4529,21375345494.7485,50323159047.3583,55144865973.3411,50386496248.958,52351655629.1391,58697386711.1482,55986712367.7993,61794506555.5051,64873963098.4868,57793612066.0974,..
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR, China",MAC,2990180515.91709,6101794938.88536,18340472131.3107,20917457388.3119,21475520709.3922,28123640998.7253,36709847596.7175,43028648668.9445,51548871615.7861,55522993326.7394,46177532874.139,..
GDP (current US$),NY.GDP.MKTP.CD,"Macedonia, FYR",MKD,4471828621.90813,3772851420.24763,8336478142.08872,9909548410.82744,9401731495.71661,9407168702.4313,10494632699.3859,9745251126.0109,10817712138.9451,11318966946.687,10086021260.9944,..
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,3081479800.28735,3877673539.09084,7342923489.09616,9413002920.97008,8550363974.79243,8729936135.74488,9892702357.56691,9919780071.28764,10613473832.7389,11011062173.0257,9980522718.48012,..
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,1880784191.81484,1743506287.41519,4432937045.79897,5321012192.33619,6191127665.1963,6959655570.89098,8004000737.30717,6028487928.83351,5518880768.57955,6047813437.31804,6565382258.60153,..
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,44024177914.6074,93789736842.1053,193547824063.3,230813597937.526,202257586267.556,255016919685.822,297951960784.314,314442825692.826,323342854422.546,338103822298.268,296217641787.223,..
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,215089005.235602,624337145.284622,1745998937.5,2117773601.5625,2166330187.5,2323401757.8125,2449576516.91549,2514041557.02396,2795200010.41213,3063899508.46532,3142812004.19099,..
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,2681912149.14767,2954129565.88305,8145694631.88354,9750822511.47988,10181021770.4326,10678749467.4697,12978107560.5982,12442747897.2223,13245777669.8243,14388384092.5594,13100263697.0551,..
